t,obs_0,obs_1,obs_2,obs_3,obs_4,obs_5,obs_6,obs_7,obs_8,obs_9,obs_10,obs_11,obs_12,obs_13,obs_14,obs_15,obs_16,obs_17,obs_18,obs_19,obs_20,obs_21,obs_22,obs_23,obs_24,obs_25,obs_26,obs_27,obs_28,obs_29,obs_30,obs_31,obs_32,obs_33,obs_34,obs_35,obs_36,obs_37,obs_38,obs_39,obs_40,obs_41,obs_42,obs_43,obs_44,obs_45,obs_46,obs_47,obs_48,obs_49,obs_50,obs_51,obs_52,obs_53,obs_54,obs_55,obs_56,obs_57,obs_58,obs_59,obs_60,obs_61,obs_62,obs_63,act_0,act_1,act_2,act_3,act_4,act_5,act_6,act_7,act_8,act_9,act_10,act_11,act_12,act_13,act_14,act_15
0,11267.926571651988,159386.18585000045,80076.93109102525,35837.22095102941,2.0313170499371194,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54505.05271676408,2,0.0,10928.301203716914,160215.17080576532,58447.288940087514,57466.86310196717,1.2393513201836188,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56859.005625918886,2,0.0,14224.870573967633,157291.5790648281,41911.59241168614,74002.55963036853,0.42016808695690855,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59885.97107203072,2,0.0,17956.7134878098,152498.9969183853,88837.0446975414,27077.107344513282,2.4173453529390265,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49178.882383007745,2,0.0,2.0313169956207275,0.0,0.0,0,1.2393512725830078,0.0,0.0,0,0.42016810178756714,0.0,0.0,0,2.4173452854156494,0.0,0.0,0
1,11267.924206822127,159386.15239746397,80078.5109779422,35835.64106411247,3.8976611218290835,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54505.16797466492,2,0.0,10928.299467948145,160215.14535706694,58448.49285751642,57465.659184538265,3.1700473859657246,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56858.703338582316,2,0.0,14224.869052551647,157291.56224091767,41912.40738475042,74001.74465730425,2.4173453529390265,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59885.58391932037,2,0.0,17956.709270322728,152498.96109931645,88838.80784204513,27075.344200009546,4.252322296099383,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49179.28323123949,2,0.0,3.8976612091064453,0.0,0.0,0,3.1700472831726074,0.0,0.0,0,2.4173452854156494,0.0,0.0,0,4.252322196960449,0.0,0.0,0
2,11267.916680677254,159386.0459337222,80083.5390143113,35830.613027743384,6.883233243939308,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54505.535040771414,2,0.0,10928.293085774809,160215.0517858451,58452.9194872759,57461.23255477877,6.258562755172851,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56857.59204541911,2,0.0,14224.861950267968,157291.48370343284,41916.21184549438,73997.94019656029,5.6123534772399895,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59883.77670814848,2,0.0,17956.696541913967,152498.85299708834,88844.12902238632,27070.023019668362,7.187716733128849,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49180.49329337472,2,0.0,6.883233070373535,0.0,0.0,0,6.2585625648498535,0.0,0.0,0,5.612353324890137,0.0,0.0,0,7.187716960906982,0.0,0.0,0
3,11267.904009186586,159385.86668467332,80092.00452188165,35822.14752017303,9.70780972659851,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54506.15393042116,2,0.0,10928.2817007349,160214.88486588871,58460.81606043078,57453.335981623895,9.180531316437397,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56855.61031008791,2,0.0,14224.8483074818,157291.33284067374,41923.51983159773,73990.63221045696,8.6350722194779,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59880.3056845969,2,0.0,17956.67562880574,152498.67538230246,88852.8718494041,27061.28019265058,9.964821339900757,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49182.48243247972,2,0.0,9.707809448242188,0.0,0.0,0,9.18053150177002,0.0,0.0,0,8.635071754455566,0.0,0.0,0,9.964821815490723,0.0,0.0,0
4,11267.887486370195,159385.63295533552,80103.04298440917,35811.1090576455,12.092007834141612,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54506.96257045075,2,0.0,10928.266478109073,160214.66168177535,58471.37433451515,57442.77770753952,11.646937149962111,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56852.96194723985,2,0.0,14224.829524340568,157291.12513555583,41933.5813183157,73980.57072373896,11.186520321210262,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59875.52781239791,2,0.0,17956.64866452713,152498.44637499677,88864.14437693325,27050.007665121426,12.308948889132951,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49185.04891503957,2,0.0,12.092007637023926,0.0,0.0,0,11.646937370300293,0.0,0.0,0,11.18652057647705,0.0,0.0,0,12.308948516845703,0.0,0.0,0
5,11267.867712661387,159385.35323935034,80116.25325371198,35797.89878834269,14.10448674944452,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54507.93276278039,2,0.0,10928.24801618987,160214.39100527603,58484.17932500592,57429.97271704876,13.728806823813805,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56849.752117294076,2,0.0,14224.806402244718,157290.86945001397,41945.967008679014,73968.18503337566,13.340173363707354,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59869.64778308892,2,0.0,17956.61659247283,152498.17398741137,88877.55220056941,27036.59984148528,14.287604627800501,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49188.104184354845,2,0.0,14.104486465454102,0.0,0.0,0,13.728806495666504,0.0,0.0,0,13.340173721313477,0.0,0.0,0,14.287604331970215,0.0,0.0,0
6,11267.845194877684,159385.03470608423,80131.29672442724,35782.85531762743,15.803201034857802,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54509.04084444766,2,0.0,10928.226819987633,160214.08024052,58498.88074741689,57415.271294637794,15.486093187635541,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56846.06972480478,2,0.0,14224.779617644881,157290.57326428045,41960.314537202226,73953.83750485245,15.158051385332707,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59862.83849664734,2,0.0,17956.580208949486,152497.8649825694,88892.76240731319,27021.389634741485,15.957769091950244,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49191.57362735158,2,0.0,15.803200721740723,0.0,0.0,0,15.486093521118164,0.0,0.0,0,15.158051490783691,0.0,0.0,0,15.957769393920898,0.0,0.0,0
7,11267.820360817446,159384.68340711005,80147.88758299935,35766.26445905533,17.237069584498144,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54510.26692354528,2,0.0,10928.203315775187,160213.73563723863,58515.18292994896,57398.96911210571,16.969401870815773,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56841.9898968911,2,0.0,14224.749741524267,157290.24289232222,41976.31803463227,73937.8340074224,16.692504909785665,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59855.24597019909,2,0.0,17956.540186109713,152497.52506905535,88909.49398847262,27004.65805358205,17.367539009372585,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49195.3943437149,2,0.0,17.237070083618164,0.0,0.0,0,16.969402313232422,0.0,0.0,0,16.6925048828125,0.0,0.0,0,17.367538452148438,0.0,0.0,0
8,11267.793571580409,159384.3044504917,80165.78457692014,35748.36746513456,18.447384370982384,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54511.59425332713,2,0.0,10928.177863364477,160213.36247075757,58532.83629885309,57381.31574320158,18.221448603149646,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56837.57609385479,2,0.0,14224.717255843048,157289.88366368433,41993.719319644384,73920.43272241029,17.987722515530702,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59846.993497225296,2,0.0,17956.49709130998,152497.15906542103,88927.50974728627,26986.642294768415,18.557512369918715,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49199.51328192148,2,0.0,18.447383880615234,0.0,0.0,0,18.22144889831543,0.0,0.0,0,17.987722396850586,0.0,0.0,0,18.557512283325195,0.0,0.0,0
9,11267.76513196707,159383.9021478924,80184.7840672506,35729.36797480406,19.46899955512867,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,54513.008717055054,2,0.0,10928.150766468922,160212.9651939231,58551.63019130749,57362.52185074718,19.278289325329556,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,56832.881903590926,2,0.0,14224.682567418593,157289.5000769779,42012.300463842716,73901.85157821196,19.08100336079447,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,59838.18516924759,2,0.0,17956.45140344996,152496.77103895598,88946.60946822699,26967.542573827683,19.561957550163843,0.0,0.0,70000.0,70000.0,70000.0,70000.0,0.0,0.0,49203.88567906026,2,0.0,19.4689998626709,0.0,0.0,0,19.278289794921875,0.0,0.0,0,19.081003189086914,0.0,0.0,0,19.56195831298828,0.0,0.0,0
